Device=TITAN X (Pascal)
*****Profiling smk 2 0
 *** bk0=7 bk1=1 time=0.008478 exec_task0=22400 exec_task1=787 tpms0=2642.081260, tmps1=92.826694
9, MM
9, MM
18, MM
18, MM
11, MM
11, MM
24, MM
24, MM
10, MM
10, MM
3, MM
13, MM
11, MM
8, MM
8, MM
14, MM
2, MM
14, MM
14, MM
14, MM
3, MM
3, MM
18, MM
3, MM
3, MM
4, MM
4, MM
7, MM
7, MM
7, MM
22, MM
22, MM
 *** bk0=2 bk1=6 time=0.013542 exec_task0=22400 exec_task1=11990 tpms0=1654.062597, tmps1=885.366542
17, VA
17, VA
23, VA
23, VA
14, VA
14, VA
11, VA
26, VA
11, VA
24, VA
12, VA
24, VA
12, VA
26, VA
13, VA
25, VA
13, VA
25, VA
20, VA
15, VA
15, VA
18, VA
19, VA
27, VA
27, VA
7, VA
7, VA
18, VA
1, VA
5, VA
20, VA
5, VA
21, VA
16, VA
1, VA
22, VA
10, VA
16, VA
22, VA
10, VA
6, VA
2, VA
6, VA
19, VA
2, VA
21, VA
4, VA
4, VA
8, VA
8, VA
0, VA
0, VA
3, VA
3, VA
9, VA
9, VA
17, MM
15, MM
15, MM
15, MM
15, MM
12, MM
12, MM
12, MM
6, MM
12, MM
6, MM
17, MM
6, MM
17, MM
6, MM
2, MM
2, MM
2, MM
2, MM
10, MM
4, MM
10, MM
20, MM
20, MM
10, MM
20, MM
10, MM
20, MM
4, MM
4, MM
4, MM
17, MM
17, MM
17, MM
23, MM
23, MM
5, MM
5, MM
5, MM
11, MM
19, MM
25, MM
25, MM
25, MM
11, MM
5, MM
24, MM
24, MM
24, MM
12, MM
12, MM
6, MM
6, MM
18, MM
18, MM
1, MM
1, MM
19, MM
19, MM
19, MM
1, MM
27, MM
27, MM
27, MM
5, MM
5, MM
1, MM
21, MM
21, MM
21, MM
27, MM
27, MM
27, MM
16, MM
16, MM
16, MM
15, MM
15, MM
16, MM
16, MM
16, MM
25, MM
7, MM
22, MM
22, MM
22, MM
25, MM
1, MM
1, MM
19, MM
19, MM
0, MM
0, MM
2, MM
13, MM
0, MM
20, MM
21, MM
21, MM
13, MM
13, MM
13, MM
20, MM
14, MM
14, MM
0, MM
0, MM
0, MM
26, MM
26, MM
26, MM
26, MM
26, MM
26, MM
8, MM
8, MM
8, MM
9, MM
9, MM
9, MM
9, MM
9, MM
9, MM
14, MM
14, MM
11, MM
11, MM
24, MM
18, MM
25, MM
18, MM
7, MM
10, MM
10, MM
2, MM
13, MM
13, MM
23, MM
11, MM
11, MM
23, MM
23, MM
8, MM
8, MM
8, MM
21, MM
22, MM
4, MM
3, MM
3, MM
24, MM
24, MM
18, MM
3, MM
14, MM
18, MM
3, MM
14, MM
3, MM
3, MM
7, MM
22, MM
22, MM
4, MM
7, MM
7, MM
23, MM
7, MM
 *** bk0=1 bk1=7 time=0.014693 exec_task0=15948 exec_task1=16384 tpms0=1085.395603, tmps1=1115.069071
17, VA
24, VA
12, VA
23, VA
14, VA
20, VA
13, VA
25, VA
19, VA
11, VA
18, VA
15, VA
26, VA
27, VA
22, VA
21, VA
16, VA
8, VA
0, VA
10, VA
5, VA
7, VA
6, VA
4, VA
9, VA
2, VA
1, VA
3, VA
13, MM
13, MM
2, MM
25, MM
1, MM
12, MM
25, MM
25, MM
25, MM
6, MM
12, MM
12, MM
5, MM
6, MM
5, MM
24, MM
5, MM
19, MM
17, MM
6, MM
18, MM
16, MM
18, MM
16, MM
26, MM
17, MM
26, MM
26, MM
2, MM
6, MM
26, MM
2, MM
10, MM
13, MM
17, MM
2, MM
5, MM
13, MM
17, MM
16, MM
10, MM
16, MM
